onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
1644	6	274.0	65	-1	F	0	2.0	2	True	3	8	2	2	1/8	True	-3	92	92	92	92a	4	137	False	True				False	208	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	-1	-1	-1	4	True	False	False
1644	3	274.0	71	5	B	0	2.0	2	True	3	8	2	1	1/16	True	-3	92	92	92	92a	4	137	False	True				False	208	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	5	5	5	#7	True	True	False
1647	3	274.5	74	2	D	0	2.5	0	False	3	8	2	1	1/16	True	-3	92	92	92	92a	5	549/4	False	False				False	208	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	2	2	2	2	True	False	True
1650	6	275.0	51	-3	E	-1	3.0	3	True	3	8	3	2	1/8	True	-3	92	92	92	92a	3	275/2	False	True				False	209	i6	c	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		0	0	0	0	-3	C	Eb	C	C	minor triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
1650	6	275.0	63	-3	E	-1	3.0	3	True	3	8	2	2	1/8	True	-3	92	92	92	92a	4	275/2	False	True				False	209	i6	c	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		0	0	0	0	-3	C	Eb	C	C	minor triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
1650	6	275.0	72	0	C	0	3.0	3	True	3	8	2	1	1/8	True	-3	92	92	92	92a	5	275/2	False	True				False	209	i6	c	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		0	0	0	0	-3	C	Eb	C	C	minor triad	1	True	False	True	True	True	0	0	0	1	True	True	False
1656	6	276.0	53	-1	F	0	1.0	1	True	3	8	3	2	1/8	True	-3	93	93	93	93a	3	138	False	True				False	210	ii%65	c	i		ii%65		ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		0	0	0	2	-1	D	F	C	C	half-diminished seventh chord	1	True	False	True	True	True	-1	-1	-1	4	True	False	True
1656	6	276.0	56	-4	A	-1	1.0	1	True	3	8	3	2	1/8	True	-3	93	93	93	93a	3	138	False	True				False	210	ii%65	c	i		ii%65		ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		0	0	0	2	-1	D	F	C	C	half-diminished seventh chord	1	True	False	True	True	True	-4	-4	-4	6	True	False	False
1656	12	276.0	60	0	C	0	1.0	1	True	3	8	2	2	1/4	True	-3	93	93	93	93a	4	138	False	True				False	210	ii%65	c	i		ii%65		ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		0	0	0	2	-1	D	F	C	C	half-diminished seventh chord	1	True	False	True	True	True	0	0	0	1	True	False	False
1656	12	276.0	62	2	D	0	1.0	1	True	3	8	2	2	1/4	True	-3	93	93	93	93a	4	138	False	True				False	210	ii%65	c	i		ii%65		ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		0	0	0	2	-1	D	F	C	C	half-diminished seventh chord	1	True	False	True	True	True	2	2	2	2	True	True	False
1656	6	276.0	68	-4	A	-1	1.0	1	True	3	8	2	1	1/8	True	-3	93	93	93	93a	4	138	False	True				False	210	ii%65	c	i		ii%65		ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	i	i, minor	ii		i	i	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		0	0	0	2	-1	D	F	C	C	half-diminished seventh chord	1	True	False	True	True	True	-4	-4	-4	6	True	False	False
1662	6	277.0	55	1	G	0	2.0	2	True	3	8	3	2	1/8	True	-3	93	93	93	93a	3	277/2	False	True				False	211	V(4)	c	i		V(4)		V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
1662	12	277.0	55	1	G	0	2.0	2	True	3	8	3	1	1/4	True	-3	93	93	93	93a	3	277/2	False	True				False	211	V(4)	c	i		V(4)		V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
1662	6	277.0	67	1	G	0	2.0	2	True	3	8	2	1	1/8	True	-3	93	93	93	93a	4	277/2	False	True				False	211	V(4)	c	i		V(4)		V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V(4), minor		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
